year,CODGEO,LIBGEO,rank,density_data,reldensity_data,area_data,relarea_data,pop_data,relpop_data,popweight,group,ngroup
1876,75060,Paris,1,32654.0566165515,0.177598811470626,73.83,1.0,2.410849e6,1.0,0.5040746671037957,1,1
1876,76351,Le Havre,10,83590.0826446281,0.45462955805903,1.21,0.0163890017608018,101144.0,0.0419536851955473,0.021147789898722943,4,5
1876,76540,Rouen,9,18371.6287215412,0.0999195739763466,5.71,0.0773398347555194,104902.0,0.0435124721622964,0.02193353492007271,3,6
1876,80021,Amiens,15,21441.0256410256,0.116613403206609,3.12,0.0422592442096709,66896.0,0.0277479012580216,0.013987014089466208,5,6
1876,83137,Toulon,14,36533.1606217617,0.198696473821927,1.93,0.0261411350399567,70509.0,0.0292465434376023,0.014742441647246066,4,5
1876,87085,Limoges,19,38498.064516129,0.209383188810863,1.55,0.0209941758092916,59672.0,0.0247514464821314,0.0124765771458178,5,6
1881,13055,Marseille,3,,,,,360099.0,0.128637612799353,0.06726594105424945,2,2
1881,29019,Brest,12,,,,,90637.0,0.0323781163271627,0.016930852624789314,4,5
1881,30189,Nîmes,18,,,,,63552.0,0.022702583369086,0.011871416154667636,5,6
1881,31555,Toulouse,8,,,,,140289.0,0.0501152240411899,0.02620577009255677,3,6
1881,33063,Bordeaux,4,,,,,227736.0,0.0813537815669398,0.04254073560862583,3,6
1881,35238,Rennes,20,,,,,60974.0,0.0217816483878815,0.01138984970755766,5,6
1881,42218,Saint-Étienne,7,,,,,132411.0,0.0473009781987041,0.024734171772024426,3,6
1881,44109,Nantes,6,,,,,140221.0,0.0500909325056112,0.026193067796822296,3,6
1881,51454,Reims,13,,,,,94508.0,0.0337609477128269,0.017653949489321013,4,5
1881,54395,Nancy,16,,,,,73225.0,0.0261580543051567,0.013678317722896804,5,6
1881,59350,Lille,5,,,,,186388.0,0.0665830990212297,0.03481699260819787,3,6
1881,67482,Strasbourg,11,,,,,104471.0,0.0373200149035715,0.019515022612888386,4,5
1881,68224,Mulhouse,17,,,,,68574.0,0.0244965847172662,0.012809518054352003,5,6
1881,69123,Lyon,2,,,,,378581.0,0.135239909278259,0.07071835031549327,2,2
1881,75060,Paris,1,,,,,2.799329e6,1.0,0.5229103649425604,1,1
1881,76351,Le Havre,10,,,,,117747.0,0.0420625799968492,0.02199495905657808,4,5
1881,76540,Rouen,9,,,,,105906.0,0.0378326377499751,0.019783078412579157,3,6
