CODGEO,LIBGEO,rank,REG,DEP,pop,area,year,type,rural_area,meanbuilt,b10,b25,b50,b75,b90,p10,p25,p50,p75,p90
64102,Bayonne,49,75,64,83356.5611495972,22.4375,1975,satellite,91.5625,52.626001071133,30.2544002532959,38.9904003143311,50.3712005615234,62.5191993713379,100,51.3758239746094,134.206169128418,187.736846923828,288.021179199219,775.229553222656
53130,Laval,50,52,53,52249.1732330322,13.6875,1975,satellite,41.3125,80.1828456948337,30.0128002166748,64.9287986755371,88.8736038208008,98.1216011047363,100,79.3054733276367,192.856559753418,260.762054443359,295.468246459961,301.394866943359
17299,Rochefort,51,75,17,26845.3772850037,10.125,1975,satellite,31.3125,59.3588047145326,30.8335990905762,45.1120004653931,59.24880027771,72.3396015167236,97.5103988647461,46.7956619262695,108.254457473755,164.087265014648,220.853626251221,308.284545898438
59178,Douai,52,32,59,105988.922912598,39.875,1975,satellite,50.875,70.7685115688647,30.0863990783691,52.0000009536743,72.3535995483399,90.600399017334,100,43.6369400024414,111.865798950195,165.909614562988,214.399238586426,353.123626708984
82121,Montauban,53,76,82,32961.955039978,12.25,1975,satellite,60.25,71.9774285919812,30.3055992126465,50.9288005828858,75.5191993713379,94.0247974395752,100,70.8081817626953,118.993711471558,176.448486328125,219.686298370361,233.647186279297
62041,Arras,54,32,62,60596.3909072876,15,1975,satellite,41.0625,68.7571533441544,30.585599899292,51.3023996353149,69.201602935791,88.7563972473145,100,58.3556594848633,165.569812774658,246.438377380371,329.357475280762,824.043884277344
71153,Le Creusot,55,27,71,40608.3685302734,9.875,1975,satellite,17.3125,62.8469366966924,30.1215991973877,47.4463996887207,62.6823997497559,76.0528011322022,100,83.6055679321289,187.53205871582,256.412544250488,325.551002502441,439.383575439453
35288,Saint-Malo,56,53,35,52741.5872802734,19.625,1975,satellite,21.625,78.0424814284987,32.0064010620117,61.7916011810303,85.0015983581543,96.195198059082,100,69.5820007324219,139.164859771729,185.945037841797,209.534702301025,217.400268554688
79191,Niort,57,75,79,50197.1365394592,20.5625,1975,satellite,65.6875,63.0074746673955,30.0223999023438,48.7008018493652,65.3040008544922,77.6464004516602,95.8544006347656,60.5176963806152,114.994354248047,158.875305175781,188.902603149414,233.200057983398
38544,Vienne,58,84,38,24184.8773365021,7.4375,1975,satellite,45.6875,68.2753748212542,30.2031993865967,46.9832000732422,72.9199981689453,90.8400001525879,100,17.7186164855957,74.5121612548828,170.538757324219,343.88330078125,391.000427246094
59606,Valenciennes,59,32,59,138628.696677208,51.9375,1975,satellite,89.0625,75.317312263553,30.1296005249023,56.6327991485596,81.0080032348633,95.8703994750977,100,13.474588394165,103.03923034668,166.28840637207,219.98983001709,435.868011474609
11069,Carcassonne,60,76,11,27972.3354606628,12.875,1975,satellite,38.3125,73.0571185361992,30.1056003570557,52.9632015228272,79.4983978271484,92.1923980712891,100,55.9559478759766,98.4403648376465,147.760162353516,171.353939056396,185.865570068359
42207,Saint-Chamond,61,84,42,41902.9267272949,11.125,1975,satellite,20.125,75.0811506549964,30.3840007781982,62.1855993270874,80.5800018310547,92.6452026367187,100,67.0411834716797,172.591926574707,257.836120605469,305.055168151856,338.410247802734
81065,Castres,62,76,81,31154.8508300781,7.375,1975,satellite,20.625,55.4272270202637,30.0160007476807,40.4384002685547,55.2024002075195,65.0235977172852,96.7328033447266,142.979354858398,192.62580871582,262.953216552734,309.735877990723,460.780700683594
24322,Périgueux,63,75,24,35767.7675018311,8.5,1975,satellite,12.3125,64.1416943774504,32.3903999328613,48.196400642395,65.0288009643555,79.5903987884522,99.3952026367188,90.4631729125977,167.629135131836,260.209671020508,351.568420410156,439.050628662109
68066,Colmar,64,44,68,63526.0927009583,22.5625,1975,satellite,31.25,82.4950117021386,30.2623996734619,69.6976013183594,92.3471984863281,99.46240234375,100,39.2524528503418,134.655746459961,201.994262695313,220.65983581543,232.882690429688
03185,Montluçon,65,84,3,56621.5079898834,22.0625,1975,satellite,24.4375,74.6924465168637,30.5727996826172,60.5279998779297,79.3135986328125,93.3936004638672,100,21.9860000610352,108.32283782959,173.109939575195,220.332214355469,240.06770324707
26362,Valence,66,84,26,90866.7202701569,30.875,1975,satellite,110.5,73.9413343923777,30.836799621582,57.6596012115479,78.6535987854004,92.3311996459961,100,29.2749137878418,106.603902816772,184.29475402832,266.08911895752,309.509582519531
08105,Charleville-Mézières,67,44,8,73139.6769351959,18.0625,1975,satellite,43.8125,72.4976442990419,30.4111995697022,51.9599990844727,77.0111999511719,93.4064025878906,100,31.6486873626709,146.377746582031,271.652893066406,362.583679199219,389.178619384766
42187,Roanne,68,84,42,62728.8944473267,18.1875,1975,satellite,26.8125,62.1476178775538,30.3104000091553,47.1663990020752,60.7519989013672,77.060001373291,99.3104019165039,68.5588607788086,143.884605407715,197.907135009766,290.084609985352,387.381683349609
58194,Nevers,69,27,58,60706.741355896,16.6875,1975,satellite,33.9375,62.7399431221494,30.1359996795654,45.1767997741699,62.5536003112793,79.5984001159668,100,37.8156509399414,154.227828979492,227.423706054688,305.945693969727,394.646453857422
71076,Chalon-sur-Saône,70,27,71,75404.1548881531,22.5625,1975,satellite,68.1875,70.7070980600373,30.089599609375,51.0624008178711,73.627197265625,92.7407989501953,100,17.5290393829346,93.6808929443359,197.367553710938,341.534912109375,377.670440673828
76231,Elbeuf,71,28,76,45723.3969116211,15.125,1975,satellite,14.875,69.3756957566443,30.244800567627,52.4072008132935,70.4039993286133,89.374397277832,100,58.6028480529785,122.475332260132,167.588981628418,229.371509552002,424.83349609375
59122,Cambrai,72,32,59,38893.0008773804,10.3125,1975,satellite,17,58.8052850087484,30.0864009857178,42.8272018432617,55.7536010742188,73.3664016723633,100,100.907180786133,166.908676147461,220.65234375,295.408447265625,593.75390625
62765,Saint-Omer,73,32,62,27578.609828949,8.5625,1975,satellite,50.9375,69.8764027505025,30.1440010070801,53.2736015319824,69.9392013549805,88.1167984008789,100,31.8504371643066,130.030532836914,179.221939086914,203.391326904297,589.137390136719
03190,Moulins,74,84,3,39956.8750648499,14.875,1975,satellite,17.625,70.2667562821332,30.2416000366211,51.1140012741089,73.657600402832,89.4216022491455,100,39.9178352355957,88.639684677124,132.269477844238,262.442573547363,343.153686523438
59017,Armentières,75,32,59,43474.8313674927,9.0625,1975,satellite,21.3125,68.7771362962394,30.2159996032715,48.804801940918,71.6543960571289,89.0495986938477,100,91.4183807373047,208.033966064453,280.777618408203,411.853118896484,500.969848632813
76217,Dieppe,76,28,76,37703.2506790161,7.125,1975,satellite,13.125,65.8361822429456,30.2784004211426,47.7879991531372,65.521598815918,82.765998840332,100,35.4858627319336,245.982162475586,336.384521484375,428.582122802734,519.458251953125
13004,Arles,77,93,13,22779.5644454956,10.5625,1975,satellite,20.9375,70.668534972964,30.1648006439209,50.2735977172852,74.6511993408203,91.4288024902344,100,57.5351295471192,95.8898391723633,142.386688232422,174.387619018555,190.735977172852
65440,Tarbes,78,76,65,63456.3205242157,17.3125,1975,satellite,36.6875,67.3838788869149,30.4160003662109,51.3695983886719,70.657600402832,84.5472030639649,100,28.2469043731689,140.469024658203,228.578826904297,331.975067138672,402.733795166016
30007,Alès,79,76,30,35859.4769134522,14.5,1975,satellite,56.75,64.3377104874315,30.0415992736816,46.6767997741699,63.07200050354,82.5552005767822,100,47.0150909423828,112.606386184692,152.661109924316,200.203174591064,241.247009277344
17300,La Rochelle,80,75,17,91713.0387001038,30.0625,1975,satellite,60.9375,66.316979588689,30.243200302124,49.9696006774902,68.3904037475586,83.1824035644531,99.8079986572266,40.2076835632324,118.777450561523,197.900283813477,262.469635009766,329.772155761719
41018,Blois,81,24,41,55069.0081253052,14.625,1975,satellite,53.625,69.3268238295857,30.1647987365723,50.113600730896,72.073600769043,89.687198638916,100,54.0240097045898,159.246280670166,246.873893737793,319.52360534668,358.494842529297
28085,Chartres,82,24,28,82699.0616493225,18.625,1975,satellite,57.375,74.5460562353966,30.7280006408691,56.3839998245239,82.0487976074219,93.6028022766113,100,47.1444053649902,200.697769165039,277.756195068359,324.763656616211,552.024108886719
60057,Beauvais,83,32,60,54041.5185928345,14.1875,1975,satellite,29.3125,75.9221287697948,31.1744003295898,57.3488006591797,81.7088012695313,96.8415985107422,100,37.1072540283203,175.819816589355,258.251708984375,306.080963134766,316.063537597656
29232,Quimper,84,53,29,56066.259059906,20.25,1975,satellite,46.9375,68.681664219609,30.0832004547119,49.9612016677857,70.7431983947754,89.1359996795654,100,47.4793357849121,122.914661407471,177.801383972168,229.446395874023,257.411590576172
51108,Châlons-en-Champagne,85,44,51,62303.658695221,18.0625,1975,satellite,27.4375,77.9873881554521,30.3952007293701,62.1007995605469,84.6240005493164,94.9392013549805,100,16.5261993408203,134.992324829102,247.578262329102,285.5224609375,395.088592529297
43157,Le Puy-en-Velay,86,84,43,23533.0611724854,3.75,1975,satellite,22.125,55.8177337964376,30.4543991088867,40.1607999801636,51.6767997741699,71.5736026763916,97.2111968994141,108.173057556152,199.96586227417,353.641311645508,558.781768798828,866.378356933594
73065,Chambéry,87,84,73,74767.6874446869,21.25,1975,satellite,80.5,64.1088988304138,30.0768013000488,48.2879991531372,64.9552001953125,80.2947978973389,100,30.3471698760986,132.903034210205,215.757095336914,306.16869354248,450.448272705078
11262,Narbonne,88,76,11,27972.6451644898,9.5,1975,satellite,18.0625,64.0622630746741,30.4191989898682,48.410400390625,62.6639995574951,79.0395965576172,99.2880020141602,87.3847045898438,139.067722320557,180.013793945313,227.055683135986,285.222930908203
14366,Lisieux,89,28,14,25559.5246276855,5.4375,1975,satellite,27.375,67.882170293523,30.1935997009277,45.8095989227295,64.4095993041992,96.081600189209,100,129.509201049805,201.493835449219,284.328704833984,412.122161865234,428.929351806641
47001,Agen,90,75,47,30866.7242870331,12.4375,1975,satellite,31.4375,61.8547939319707,30.0016002655029,46.7431983947754,61.9552001953125,77.6991996765137,93.4336013793945,29.6864051818848,85.2407035827637,169.220748901367,220.03352355957,301.158843994141
36044,Châteauroux,91,24,36,59795.3674545288,18.5625,1975,satellite,46.6875,66.3812848742964,30.1567993164063,52.9311981201172,68.0240020751953,82.120002746582,100,34.069938659668,130.749496459961,217.038543701172,269.558654785156,330.964477539063
80001,Abbeville,92,32,80,21302.2561950684,6.375,1975,satellite,9.0625,68.3410038293577,30.342399597168,47.5888004302979,68.790397644043,86.7876014709473,100,92.7243957519531,145.428276062012,210.218971252441,265.217254638672,305.593475341797
71270,Mâcon,93,27,71,38682.5455036163,13.3125,1975,satellite,23.4375,76.1576864126143,30.4976005554199,60.7407989501953,81.8784027099609,91.4288024902344,100,17.4430980682373,147.63134765625,194.871139526367,218.13232421875,368.576049804688
81004,Albi,94,76,81,31935.3948326111,12.3125,1975,satellite,67.125,63.3259615147779,30.1231994628906,46.4560012817383,64.2720031738281,81.7328033447266,100,52.2503395080566,119.313034057617,162.908401489258,212.62663269043,256.830169677734
49328,Saumur,95,52,49,27189.8597373962,10.0625,1975,satellite,13.5625,63.2462510884919,30.6319999694824,45.8415985107422,61.7999992370606,80.4832000732422,100,34.1172332763672,119.695526123047,166.564254760742,215.557312011719,269.856811523438
86066,Châtellerault,96,75,86,26095.6672134399,7.625,1975,satellite,46,56.0273049620331,30.0832004547119,42.9455995559692,52.9071998596191,69.8844032287598,97.625602722168,114.85050201416,163.956073760986,201.987091064453,266.802024841309,372.711303710938
29151,Morlaix,97,53,29,18659.0863418579,9.375,1975,satellite,25.0625,66.516224009196,30.0944004058838,47.4107990264893,69.1263999938965,85.1972007751465,100,33.1430015563965,80.3650417327881,105.461231231689,180.144058227539,228.585708618164
56260,Vannes,98,53,56,47657.53307724,15.875,1975,satellite,55.375,70.1391306674387,30.0832004547119,49.9459991455078,73.2192001342774,91.2216014862061,100,59.0712852478027,132.273818969727,197.504302978516,246.4494972229,272.365661621094
44184,Saint-Nazaire,99,52,44,60343.4219818115,26.625,1975,satellite,128.25,75.4583700430785,30.4703998565674,54.4319982528687,81.2999992370606,98.2591972351074,100,17.6412715911865,56.478199005127,137.200225830078,231.233596801758,239.976409912109
08409,Sedan,100,44,8,26134.0257377625,8.4375,1975,satellite,56.5625,70.6510458487052,30.8080005645752,51.5456008911133,72.4960021972656,89.1808013916016,100,20.4987506866455,90.1495666503906,190.312164306641,293.601440429688,345.680236816406
75060,Paris,1,11,75,8310511.51066971,1264.875,1990,satellite,6745,82.2865738571368,30.0111999511719,69.0640029907227,91.984001159668,99.3616027832031,100,9.02519035339355,200.078098297119,322.681427001953,465.943183898926,2768.10571289063
69123,Lyon,2,84,69,1050195.45047379,260.75,1990,satellite,425.5,78.2118953424127,30.0352001190186,61.105598449707,85.842399597168,98.1992015838623,100,12.5296831130981,107.344596862793,179.743896484375,311.433769226074,1311.79443359375
13055,Marseille,3,93,13,789383.489290238,178.125,1990,satellite,375,81.7055382464225,30.0368003845215,67.0663967132568,92.1072006225586,99.5763988494873,100,26.6082439422607,135.159973144531,238.431335449219,322.361602783203,1410.28637695313
33063,Bordeaux,4,75,33,536821.33821106,166.625,1990,satellite,959.5,64.5070289910868,30.0032005310059,49.1312007904053,65.8087997436524,79.4848003387451,100,37.4451026916504,122.558259963989,174.21460723877,287.938270568848,445.073822021484
59350,Lille,5,32,59,911364.849288941,197.375,1990,satellite,470.25,75.4685735944104,30.0480003356934,58.557599067688,81.1952018737793,94.5440006256104,100,21.0114231109619,178.97505569458,271.989974975586,406.20174407959,906.134033203125
44109,Nantes,6,52,44,429868.11838913,121.3125,1990,satellite,287.1875,72.7301852458657,30.0799999237061,54.902400970459,76.8784027099609,92.1072006225586,100,45.9697761535645,134.349212646484,211.141662597656,323.312469482422,383.420562744141
42218,Saint-Étienne,7,84,42,269048.603603363,63.75,1990,satellite,255.25,73.7188878302481,30.007999420166,56.4203996658325,78.0080032348633,93.8912010192871,100,45.8891143798828,150.534534454346,241.575569152832,396.173568725586,457.913055419922
31555,Toulouse,8,76,31,519621.999620438,191.9375,1990,satellite,1167.6875,70.9633057512627,30.015998840332,53.1743984222412,74.6928024291992,89.6879997253418,100,16.915002822876,93.2177429199219,157.624893188477,251.654708862305,327.995239257813
76540,Rouen,9,28,76,351350.880641937,100.375,1990,satellite,368.375,76.9021449665055,30.089599609375,61.1004009246826,82.1464004516602,96.8916034698486,100,34.5878562927246,134.815093994141,210.346153259277,300.806991577148,452.871032714844
76351,Le Havre,10,28,76,246611.717960119,78.875,1990,satellite,171.375,80.9029503004676,30.1648006439209,64.3315982818604,92.0631980895996,100,100,3.63341450691223,53.4168395996094,231.651565551758,330.594451904297,334.447296142578
67482,Strasbourg,11,44,67,394464.148918152,109.8125,1990,satellite,245.1875,79.6713698392031,30.0128002166748,64.8064041137695,87.0864028930664,98.7216033935547,100,34.9461402893066,124.483222961426,219.363159179688,336.695526123047,414.037963867188
29019,Brest,12,53,29,170526.527524948,44.875,1990,satellite,195.75,81.0917303967277,30.171199798584,67.3027992248535,90.3416023254394,99.0044002532959,100,31.1134281158447,148.251113891602,288.393859863281,329.864501953125,333.622375488281
51454,Reims,13,44,51,213055.160144806,43.25,1990,satellite,137.4375,74.7064531497184,30.1103992462158,56.6068000793457,80.5064010620117,93.9151992797852,100,6.80619812011719,195.563465118408,336.83967590332,435.71858215332,467.583435058594
83137,Toulon,14,93,83,404517.167253494,186.25,1990,satellite,456.3125,75.5939022985881,30.0879993438721,55.738000869751,82.0559997558594,96.8144016265869,100,23.8461475372315,63.370475769043,99.7954330444336,187.484664916992,364.103729248047
80021,Amiens,15,32,80,131559.098491669,31.125,1990,satellite,142.1875,73.946547780171,30.2015991210938,55.8223991394043,79.9375991821289,93.4944000244141,100,15.8039360046387,159.810649871826,285.945922851563,365.747085571289,399.245361328125
54395,Nancy,16,44,54,259876.892860413,63.5,1990,satellite,567.25,73.9281937306322,30.0608005523682,53.7108011245728,79.6703987121582,95.4180011749268,100,30.3444499969482,134.046226501465,219.815704345703,362.49853515625,513.620971679688
68224,Mulhouse,17,44,68,207467.443796158,71.1875,1990,satellite,184.5625,77.2083567936657,30.0384006500244,59.850399017334,84.342399597168,96.7095985412598,100,18.8520450592041,93.2118721008301,155.673904418945,264.773788452148,375.016693115234
30189,Nîmes,18,76,30,108244.960681915,33.9375,1990,satellite,83.9375,73.786386781415,30.3264007568359,54.4847984313965,77.3871994018555,95.5352020263672,100,49.4972038269043,146.670280456543,207.1748046875,263.061828613281,275.903472900391
87085,Limoges,19,75,87,132369.2541008,36.625,1990,satellite,203.0625,74.1451712956608,30.0799999237061,57.2319984436035,78.7175979614258,93.28440284729,100,55.5297355651856,169.815494537354,239.858612060547,289.074920654297,309.787322998047
35238,Rennes,20,53,35,230318.748151779,54.8125,1990,satellite,168.625,79.2219183322641,30.0383987426758,62.0512008666992,87.3936004638672,98.7391967773438,100,31.608980178833,117.030075073242,311.759918212891,404.461669921875,411.466461181641
49007,Angers,21,52,49,206645.938446045,65.5625,1990,satellite,170.6875,75.8021521245558,30.0207996368408,58.0687980651856,81.9280014038086,95.8384017944336,100,17.1428985595703,79.6440963745117,147.977890014648,350.599578857422,380.378692626953
34172,Montpellier,22,76,34,238989.773670197,66.6875,1990,satellite,973.9375,73.7604438206137,30.0624008178711,56.1016006469727,79.0288009643555,92.894401550293,100,36.3943328857422,124.464530944824,222.425964355469,339.424011230469,378.801147460938
25056,Besançon,23,27,25,119321.361095428,34.125,1990,satellite,93.375,74.2570372640868,30.0240001678467,57.1351985931397,78.4351997375488,95.1448020935059,100,16.716983795166,120.159976959229,243.572547912598,315.003349304199,333.533111572266
06088,Nice,24,93,6,741694.05765152,246.6875,1990,satellite,959.0625,72.8453249495211,30.0032005310059,53.1079998016358,76.2463989257813,94.9127998352051,100,17.7463531494141,77.6671886444092,154.206108093262,251.011306762695,482.656005859375
45234,Orléans,25,24,45,147726.910366058,48.25,1990,satellite,363,69.8106278187253,30.1311988830566,51.0940008163452,72.8496017456055,88.921199798584,100,42.2946357727051,105.541116714478,164.198585510254,232.801944732666,430.762145996094
37261,Tours,26,24,37,226835.151752472,70.5625,1990,satellite,193.5,72.7137403141829,30.017599105835,54.0719985961914,74.3376007080078,94.4191970825195,100,25.0573749542236,115.602920532227,160.407089233398,281.756256103516,398.420013427734
57463,Metz,27,44,57,175588.744356155,50.375,1990,satellite,155.875,72.4368555599052,30.4927997589111,52.2312002182007,76.4767990112305,94.4667987823486,100,15.6563377380371,119.081869125366,203.879730224609,334.150817871094,428.336120605469
50129,Cherbourg-en-Cotentin,28,28,50,90074.6571044922,30.3125,1990,satellite,76.9375,78.7243150848703,30.3360004425049,63.1167984008789,85.5599975585938,98.0176010131836,100,46.8171730041504,131.321365356445,178.837051391602,265.337982177734,286.957855224609
72181,Le Mans,29,52,72,169663.577281952,44.3125,1990,satellite,184.4375,77.302183342249,30.0527992248535,61.9119987487793,83.7791976928711,96.0976028442383,100,36.5978240966797,172.046997070313,267.752502441406,306.333618164063,407.906066894531
21231,Dijon,30,27,21,208643.093625069,53.8125,1990,satellite,230.8125,79.366134311264,30.0368003845215,64.7600021362305,87.7664031982422,97.5039978027344,100,13.1359672546387,124.778053283691,275.41552734375,352.406890869141,422.837585449219
59183,Dunkerque,31,32,59,168708.728212357,67.6875,1990,satellite,136.3125,79.9128007580589,30.1007995605469,65.0176010131836,89.1472015380859,98.3207969665527,100,18.7233333587647,111.459922790527,168.784851074219,208.799774169922,334.399291992188
38185,Grenoble,32,84,38,350259.642604828,72.625,1990,satellite,399.4375,72.5918484801064,30.0191993713379,56.6612014770508,76.4791984558106,90.9095973968506,100,36.9788513183594,156.164684295654,246.990447998047,412.046508789063,674.873657226563
63113,Clermont-Ferrand,33,84,63,232746.431316376,76.0625,1990,satellite,215.3125,77.8913327360506,30.1728000640869,59.9935989379883,85.7104034423828,97.5839996337891,100,33.8027687072754,108.188262939453,173.482177734375,287.382659912109,430.776641845703
14118,Caen,34,28,14,191933.162527084,58.875,1990,satellite,123.875,79.6035941117888,30.5599994659424,64.752799987793,88.2351989746094,98.5767974853516,100,23.0938053131104,98.2578201293945,168.592315673828,336.995300292969,588.8681640625
10387,Troyes,35,44,10,122312.357780933,46,1990,satellite,60.375,79.5935434906379,30.0799999237061,63.0664005279541,89.6944007873535,98.5104007720947,100,7.16082620620728,74.2421779632568,158.258834838867,278.313171386719,362.767425537109
62160,Boulogne-sur-Mer,36,32,62,82564.9104766846,15.375,1990,satellite,19,70.2562014494485,30.4111995697022,55.8092012405396,72.013599395752,85.1283988952637,100,104.065078735352,240.201972961426,316.402221679688,438.806442260742,587.148315429688
02691,Saint-Quentin,37,32,2,67147.1051883698,17.3125,1990,satellite,26.1875,79.7493025370023,30.1840000152588,64.6688003540039,87.478401184082,97.6352005004883,100,31.603982925415,150.484344482422,274.207458496094,333.463012695313,341.774993896484
56121,Lorient,38,53,56,93159.9376869202,31.5625,1990,satellite,42.0625,80.9518225905919,30.0032005310059,65.283203125,91.1327972412109,99.9328002929688,100,30.2077007293701,103.38752746582,176.717590332031,292.814109802246,300.513275146484
34032,Béziers,39,76,34,57622.8155822754,14,1990,satellite,34.9375,67.2784284608705,30.0767993927002,52.2867984771729,70.67919921875,82.8480014801025,98.8143997192383,59.0454177856445,194.441413879395,273.581100463867,320.683441162109,382.485260009766
62193,Calais,40,32,62,85942.861579895,29.125,1990,satellite,30.25,72.7072275513743,30.2287998199463,51.4336013793945,76.9968032836914,94.3616008758545,100,18.9408168792725,111.790985107422,204.954544067383,270.5439453125,287.279693603516
84007,Avignon,41,93,84,95311.6614151001,35.625,1990,satellite,141.1875,73.5561741142942,30.0863990783691,55.9940004348755,78.2280006408691,93.0939998626709,100,46.5818901062012,113.190624237061,155.248519897461,238.977149963379,266.221160888672
18033,Bourges,42,24,18,80317.4818649292,32.125,1990,satellite,50.375,71.267772774752,30.243200302124,52.5960006713867,75.127197265625,91.8579998016357,100,40.049186706543,105.163125991821,159.466377258301,212.430923461914,241.472305297852
86194,Poitiers,43,75,86,89294.6727676392,32.3125,1990,satellite,72.75,70.0097146283266,30.0783996582031,52.7999992370606,73.7343978881836,88.2671966552734,100,24.0417213439941,117.150314331055,184.634490966797,226.644775390625,261.231872558594
16015,Angoulême,44,75,16,77337.3835525513,39.375,1990,satellite,63.75,72.1565358419267,30.1263999938965,54.3811988830566,75.573600769043,92.0300006866455,100,24.8423614501953,72.6417293548584,104.674633026123,189.844165802002,227.24186706543
64445,Pau,45,75,64,116393.090061188,37.6875,1990,satellite,173.625,68.7124696228635,30.2703990936279,53.2143993377686,70.9599990844727,84.8400001525879,100,39.6021614074707,114.82018661499,185.194458007813,271.93684387207,343.618408203125
13001,Aix-en-Provence,46,93,13,70651.5498085022,23.75,1990,satellite,48.25,74.4932799138521,30.2271995544434,53.7467994689941,80.7207984924317,96.7103996276856,100,30.4535102844238,134.254528045654,201.633071899414,241.573623657227,249.790740966797
34301,Sète,47,76,34,45608.9815979004,18.0625,1990,satellite,63.9375,66.7598451132593,30.3488006591797,47.5727996826172,67.6208038330078,84.9664001464844,100,47.456470489502,113.71305847168,145.959747314453,208.415573120117,285.14453125
66136,Perpignan,48,76,66,88963.8933486939,28.9375,1990,satellite,203.0625,68.5757893094749,30.2096004486084,52.1400012969971,71.9008026123047,85.3479995727539,100,29.7627143859863,131.21216583252,207.211181640625,255.254096984863,300.967437744141
64102,Bayonne,49,75,64,97897.0871238709,33.1875,1990,satellite,85.5625,59.5376029759926,30.1664009094238,43.8768005371094,58.3279991149902,73.6944007873535,100,55.5926094055176,126.583442687988,166.447387695313,223.786468505859,422.254486083984
53130,Laval,50,52,53,53064.6452865601,18.875,1990,satellite,38.625,81.1447998577396,33.1696014404297,65.4059982299805,90.2719993591309,98.4472007751465,100,41.8241348266602,130.07886505127,202.741134643555,228.534206390381,232.772521972656
17299,Rochefort,51,75,17,27266.2450675964,12.125,1990,satellite,29.3125,69.6959093231516,30.4736003875732,55.4911994934082,72.1471977233887,86.4328002929688,99.3280029296875,38.9209289550781,91.5943546295166,143.075325012207,193.462493896484,226.529708862305
59178,Douai,52,32,59,104584.701572418,43.75,1990,satellite,47,71.3608480044774,30.0863990783691,53.1439990997315,73.6848030090332,91.5060005187988,100,41.2405776977539,98.9212455749512,149.984825134277,191.282150268555,287.688629150391
82121,Montauban,53,76,82,32681.5532341003,13.9375,1990,satellite,80.9375,74.8965238477083,30.7984008789063,56.0320014953613,83.4991989135742,94.6152000427246,100,60.2648849487305,109.640827178955,163.387359619141,185.138633728027,195.675384521484
62041,Arras,54,32,62,68054.5703010559,20,1990,satellite,43.375,67.2964851796627,30.1296005249023,49.6755990982056,67.0904006958008,86.6316032409668,100,47.3091316223145,131.623844146729,208.829437255859,292.363868713379,430.547302246094
71153,Le Creusot,55,27,71,34153.1693916321,12.75,1990,satellite,21.25,71.4885881835339,31.1247997283936,53.3700008392334,75.6984024047852,89.2247982025147,100,47.5156936645508,109.088552474976,165.751258850098,226.854057312012,267.900756835938
35288,Saint-Malo,56,53,35,47249.6933441162,20.8125,1990,satellite,21.8125,79.8602811853449,30.5951995849609,64.9807968139649,88.8560028076172,98.8112030029297,100,55.0907135009766,122.264389038086,161.443283081055,178.037902832031,180.063262939453
79191,Niort,57,75,79,50466.1360855103,21.3125,1990,satellite,66.8125,63.9932762548721,30.5120010375977,51.0383987426758,65.6688003540039,78.5551986694336,95.8544006347656,45.8913612365723,114.553825378418,153.824066162109,184.00944519043,224.531478881836
38544,Vienne,58,84,38,23809.8554096222,8.75,1990,satellite,44.375,65.5741143090384,30.5184001922607,43.4996004104614,62.0815982818604,88.4308013916016,100,16.6968631744385,65.7315740585327,153.743034362793,279.685539245605,331.811859130859
59606,Valenciennes,59,32,59,137415.532844543,55.6875,1990,satellite,85.3125,76.1444758876539,30.1296005249023,58.4151992797852,81.8911972045899,95.9384002685547,100,14.1268663406372,91.2820205688477,150.298355102539,214.785758972168,353.760162353516
11069,Carcassonne,60,76,11,31882.1785316467,13.375,1990,satellite,40.4375,74.6418168076845,30.1056003570557,54.8224010467529,80.9248008728027,94.9456005096436,100,60.089599609375,109.423364639282,161.522735595703,189.507705688477,199.596084594727
42207,Saint-Chamond,61,84,42,39293.3213195801,12.25,1990,satellite,19,74.8451347156447,31.3824005126953,55.3275995254517,80.4127998352051,92.2943992614746,100,60.7882499694824,146.034164428711,215.211486816406,259.16731262207,286.768188476563
81065,Castres,62,76,81,37745.2317428589,11.75,1990,satellite,25.0625,64.0119147199266,30.0576000213623,46.9704008102417,65.0727996826172,79.8291969299316,100,94.2752532958984,147.32202911377,204.099952697754,250.383201599121,313.648651123047
24322,Périgueux,63,75,24,34398.0433540344,8.8125,1990,satellite,12,64.5848625128996,30.0559997558594,49.1840019226074,65.9311981201172,79.7631988525391,99.3952026367188,61.4676551818848,156.869400024414,241.261657714844,328.778503417969,409.700317382813
68066,Colmar,64,44,68,66956.8541908264,23.375,1990,satellite,30.4375,84.3196621706142,30.0319995880127,74.2356014251709,93.7663993835449,99.907600402832,100,41.0301361083984,144.122169494629,202.171096801758,220.133476257324,220.722366333008
03185,Montluçon,65,84,3,52653.7539157868,22.75,1990,satellite,23.75,74.6668747493199,30.5727996826172,60.1159992218018,79.1912002563477,93.1572017669678,100,21.3220615386963,96.1883449554443,152.21964263916,199.015823364258,217.196014404297
26362,Valence,66,84,26,93447.4590263367,31.875,1990,satellite,116.75,75.8294965744019,30.0687999725342,60.6060009002686,80.7824020385742,93.4695987701416,100,32.5486259460449,105.912958145142,184.025871276855,259.039779663086,298.01953125
08105,Charleville-Mézières,67,44,8,64665.2907600403,20.8125,1990,satellite,41.0625,72.9597790405915,30.0559997558594,53.5984001159668,77.252799987793,93.8672027587891,100,26.8093376159668,114.684783935547,211.119430541992,278.577453613281,299.334503173828
