CODGEO,LIBGEO,rank,REG,DEP,pop,area,year,type,rural_area,meanbuilt,b10,b25,b50,b75,b90,p10,p25,p50,p75,p90
30007,Alès,79,76,30,20893,0.44,1876,manual,,,,,,,,,,,,
17300,La Rochelle,80,75,17,20732,1.61,1876,manual,,,,,,,,,,,,
41018,Blois,81,24,41,20515,1.18,1876,manual,,,,,,,,,,,,
28085,Chartres,82,24,28,20468,1.55,1876,manual,,,,,,,,,,,,
60057,Beauvais,83,32,60,20329,1.88,1876,manual,,,,,,,,,,,,
29232,Quimper,84,53,29,20264,0.822,1876,manual,,,,,,,,,,,,
51108,Châlons-en-Champagne,85,44,51,20236,1.24,1876,manual,,,,,,,,,,,,
43157,Le Puy-en-Velay,86,84,43,20177,0.642,1876,manual,,,,,,,,,,,,
73065,Chambéry,87,84,73,20054,0.901,1876,manual,,,,,,,,,,,,
11262,Narbonne,88,76,11,19968,0.57,1876,manual,,,,,,,,,,,,
14366,Lisieux,89,28,14,19737,0.701,1876,manual,,,,,,,,,,,,
47001,Agen,90,75,47,19503,0.802,1876,manual,,,,,,,,,,,,
36044,Châteauroux,91,24,36,19442,0.781,1876,manual,,,,,,,,,,,,
80001,Abbeville,92,32,80,19381,1.74,1876,manual,,,,,,,,,,,,
71270,Mâcon,93,27,71,19326,1.1,1876,manual,,,,,,,,,,,,
81004,Albi,94,76,81,19169,0.75,1876,manual,,,,,,,,,,,,
49328,Saumur,95,52,49,19021,1.9,1876,manual,,,,,,,,,,,,
86066,Châtellerault,96,75,86,18363,1.01,1876,manual,,,,,,,,,,,,
29151,Morlaix,97,53,29,18118,0.887,1876,manual,,,,,,,,,,,,
56260,Vannes,98,53,56,17946,0.982,1876,manual,,,,,,,,,,,,
44184,Saint-Nazaire,99,52,44,17669,0.247,1876,manual,,,,,,,,,,,,
08409,Sedan,100,44,8,16888,1.22,1876,manual,,,,,,,,,,,,
75060,Paris,1,11,75,5437450,572.69,1950,manual,,,,,,,,,,,,
69123,Lyon,2,84,69,596340,54.87,1950,manual,,,,,,,,,,,,
13055,Marseille,3,93,13,661407,33.35,1950,manual,,,,,,,,,,,,
33063,Bordeaux,4,75,33,349923,36.88,1950,manual,,,,,,,,,,,,
59350,Lille,5,32,59,259103,18.28,1950,manual,,,,,,,,,,,,
44109,Nantes,6,52,44,241810,32.17,1950,manual,,,,,,,,,,,,
42218,Saint-Étienne,7,84,42,188953,14.96,1950,manual,,,,,,,,,,,,
31555,Toulouse,8,76,31,268863,38.2,1950,manual,,,,,,,,,,,,
76540,Rouen,9,28,76,116517,22.59,1950,manual,,,,,,,,,,,,
76351,Le Havre,10,28,76,167817,20.94,1950,manual,,,,,,,,,,,,
67482,Strasbourg,11,44,67,238747,14.96,1950,manual,,,,,,,,,,,,
29019,Brest,12,53,29,110713,6.92,1950,manual,,,,,,,,,,,,
51454,Reims,13,44,51,123220,22.15,1950,manual,,,,,,,,,,,,
83137,Toulon,14,93,83,146320,10.86,1950,manual,,,,,,,,,,,,
80021,Amiens,15,32,80,92506,8.66,1950,manual,,,,,,,,,,,,
54395,Nancy,16,44,54,124836,20.6,1950,manual,,,,,,,,,,,,
68224,Mulhouse,17,44,68,99079,18.44,1950,manual,,,,,,,,,,,,
30189,Nîmes,18,76,30,89107,6.38,1950,manual,,,,,,,,,,,,
87085,Limoges,19,75,87,106851,8.49,1950,manual,,,,,,,,,,,,
35238,Rennes,20,53,35,124122,6.84,1950,manual,,,,,,,,,,,,
49007,Angers,21,52,49,102161,7.96,1950,manual,,,,,,,,,,,,
34172,Montpellier,22,76,34,97501,6.52,1950,manual,,,,,,,,,,,,
25056,Besançon,23,27,25,73445,8.19,1950,manual,,,,,,,,,,,,
06088,Nice,24,93,6,244360,15.64,1950,manual,,,,,,,,,,,,
45234,Orléans,25,24,45,76491,9.08,1950,manual,,,,,,,,,,,,
37261,Tours,26,24,37,95903,12.47,1950,manual,,,,,,,,,,,,
57463,Metz,27,44,57,113639,8.97,1950,manual,,,,,,,,,,,,
50129,Cherbourg-en-Cotentin,28,28,50,67717,9.23,1950,manual,,,,,,,,,,,,
72181,Le Mans,29,52,72,111988,11.2,1950,manual,,,,,,,,,,,,
21231,Dijon,30,27,21,112979,14.74,1950,manual,,,,,,,,,,,,
59183,Dunkerque,31,32,59,75438,14.1,1950,manual,,,,,,,,,,,,
38185,Grenoble,32,84,38,116440,11.81,1950,manual,,,,,,,,,,,,
63113,Clermont-Ferrand,33,84,63,124864,10.43,1950,manual,,,,,,,,,,,,
14118,Caen,34,28,14,68182,5.78,1950,manual,,,,,,,,,,,,
10387,Troyes,35,44,10,58917,16.97,1950,manual,,,,,,,,,,,,
62160,Boulogne-sur-Mer,36,32,62,72578,10.73,1950,manual,,,,,,,,,,,,
02691,Saint-Quentin,37,32,2,57642,8.3,1950,manual,,,,,,,,,,,,
56121,Lorient,38,53,56,47095,4.44,1950,manual,,,,,,,,,,,,
34032,Béziers,39,76,34,64920,4.57,1950,manual,,,,,,,,,,,,
62193,Calais,40,32,62,63465,10.1,1950,manual,,,,,,,,,,,,
84007,Avignon,41,93,84,62768,5.89,1950,manual,,,,,,,,,,,,
18033,Bourges,42,24,18,53879,6.29,1950,manual,,,,,,,,,,,,
86194,Poitiers,43,75,86,52681,4.81,1950,manual,,,,,,,,,,,,
16015,Angoulême,44,75,16,43170,3.11,1950,manual,,,,,,,,,,,,
64445,Pau,45,75,64,48320,7.49,1950,manual,,,,,,,,,,,,
13001,Aix-en-Provence,46,93,13,54217,3.6,1950,manual,,,,,,,,,,,,
34301,Sète,47,76,34,33454,3.36,1950,manual,,,,,,,,,,,,
66136,Perpignan,48,76,66,70051,4.17,1950,manual,,,,,,,,,,,,
64102,Bayonne,49,75,64,32575,3.32,1950,manual,,,,,,,,,,,,
53130,Laval,50,52,53,34597,2.88,1950,manual,,,,,,,,,,,,
17299,Rochefort,51,75,17,30858,6.12,1950,manual,,,,,,,,,,,,
59178,Douai,52,32,59,48439,7.2,1950,manual,,,,,,,,,,,,
82121,Montauban,53,76,82,38302,5.5,1950,manual,,,,,,,,,,,,
62041,Arras,54,32,62,40785,6.67,1950,manual,,,,,,,,,,,,
71153,Le Creusot,55,27,71,28679,6.27,1950,manual,,,,,,,,,,,,
35288,Saint-Malo,56,53,35,36617,4.12,1950,manual,,,,,,,,,,,,
79191,Niort,57,75,79,41387,3.6,1950,manual,,,,,,,,,,,,
38544,Vienne,58,84,38,28411,2.56,1950,manual,,,,,,,,,,,,
59606,Valenciennes,59,32,59,112963,17.26,1950,manual,,,,,,,,,,,,
11069,Carcassonne,60,76,11,37035,4.58,1950,manual,,,,,,,,,,,,
42207,Saint-Chamond,61,84,42,37093,4.26,1950,manual,,,,,,,,,,,,
81065,Castres,62,76,81,34126,3.26,1950,manual,,,,,,,,,,,,
24322,Périgueux,63,75,24,40785,3.35,1950,manual,,,,,,,,,,,,
68066,Colmar,64,44,68,47270,7.62,1950,manual,,,,,,,,,,,,
03185,Montluçon,65,84,3,54040,6.8,1950,manual,,,,,,,,,,,,
26362,Valence,66,84,26,41470,7.93,1950,manual,,,,,,,,,,,,
08105,Charleville-Mézières,67,44,8,44441,5.7,1950,manual,,,,,,,,,,,,
42187,Roanne,68,84,42,46511,3.72,1950,manual,,,,,,,,,,,,
58194,Nevers,69,27,58,35235,2.61,1950,manual,,,,,,,,,,,,
71076,Chalon-sur-Saône,70,27,71,37399,3.78,1950,manual,,,,,,,,,,,,
76231,Elbeuf,71,28,76,32043,4.86,1950,manual,,,,,,,,,,,,
59122,Cambrai,72,32,59,32423,5.63,1950,manual,,,,,,,,,,,,
62765,Saint-Omer,73,32,62,19281,1.99,1950,manual,,,,,,,,,,,,
03190,Moulins,74,84,3,32815,2.92,1950,manual,,,,,,,,,,,,
59017,Armentières,75,32,59,24940,4.32,1950,manual,,,,,,,,,,,,
76217,Dieppe,76,28,76,32182,5.36,1950,manual,,,,,,,,,,,,
13004,Arles,77,93,13,37443,2.67,1950,manual,,,,,,,,,,,,
65440,Tarbes,78,76,65,40242,2.36,1950,manual,,,,,,,,,,,,
30007,Alès,79,76,30,36893,0.965,1950,manual,,,,,,,,,,,,
17300,La Rochelle,80,75,17,58799,16.34,1950,manual,,,,,,,,,,,,
41018,Blois,81,24,41,28190,4.22,1950,manual,,,,,,,,,,,,
28085,Chartres,82,24,28,33266,2.79,1950,manual,,,,,,,,,,,,
60057,Beauvais,83,32,60,26804,3.46,1950,manual,,,,,,,,,,,,
29232,Quimper,84,53,29,41243,2.27,1950,manual,,,,,,,,,,,,
51108,Châlons-en-Champagne,85,44,51,38438,6.75,1950,manual,,,,,,,,,,,,
43157,Le Puy-en-Velay,86,84,43,26342,2.22,1950,manual,,,,,,,,,,,,
73065,Chambéry,87,84,73,34431,4.46,1950,manual,,,,,,,,,,,,
11262,Narbonne,88,76,11,32060,3.26,1950,manual,,,,,,,,,,,,
14366,Lisieux,89,28,14,19670,2.55,1950,manual,,,,,,,,,,,,
47001,Agen,90,75,47,32593,4.13,1950,manual,,,,,,,,,,,,
36044,Châteauroux,91,24,36,40873,5.67,1950,manual,,,,,,,,,,,,
80001,Abbeville,92,32,80,19502,2.77,1950,manual,,,,,,,,,,,,
71270,Mâcon,93,27,71,26609,3.13,1950,manual,,,,,,,,,,,,
81004,Albi,94,76,81,34693,5.98,1950,manual,,,,,,,,,,,,
49328,Saumur,95,52,49,26494,5.06,1950,manual,,,,,,,,,,,,
86066,Châtellerault,96,75,86,25514,5.42,1950,manual,,,,,,,,,,,,
29151,Morlaix,97,53,29,20725,2.71,1950,manual,,,,,,,,,,,,
56260,Vannes,98,53,56,28403,3.43,1950,manual,,,,,,,,,,,,
44184,Saint-Nazaire,99,52,44,39350,9.09,1950,manual,,,,,,,,,,,,
08409,Sedan,100,44,8,18063,2.4,1950,manual,,,,,,,,,,,,
75060,Paris,1,11,75,7238265.0604248,1122.5625,1975,satellite,6887.3125,81.6762526792339,30.015998840332,68.5151977539063,90.5647964477539,99.1488037109375,100,13.1808395385742,206.229843139648,322.707092285156,445.062072753906,2660.74780273438
69123,Lyon,2,84,69,894801.078007698,212.125,1975,satellite,468.5,79.4122051217659,30.0960006713867,64.0916004180908,87.7927970886231,98.620397567749,100,9.66073322296143,134.095809936523,206.335861206055,343.769714355469,1275.43786621094
13055,Marseille,3,93,13,708578.981445313,168.3125,1975,satellite,384.8125,80.8524055048918,30.0016002655029,66.2223968505859,90.1343994140625,99.2544021606445,100,25.5655384063721,132.053749084473,227.63794708252,298.356719970703,1337.87182617188
33063,Bordeaux,4,75,33,347119.208446503,101.0625,1975,satellite,990.5625,54.4307304717319,30.0032005310059,41.9519996643066,53.1408004760742,65.5808029174805,98.521598815918,33.9791526794434,139.444366455078,197.405868530273,278.798858642578,511.114654541016
59350,Lille,5,32,59,882018.159593582,177.0625,1975,satellite,490.5625,75.3351906959219,30.0063991546631,58.3167991638184,81.193603515625,94.7231979370117,100,28.2716579437256,199.855514526367,306.398895263672,411.960357666016,918.283325195313
44109,Nantes,6,52,44,355204.591011047,88,1975,satellite,320.5,73.3949568176811,30.0960006713867,55.5896015167236,77.7088012695313,92.8392009735107,100,52.510181427002,166.552799224854,261.585144042969,345.087707519531,381.991088867188
42218,Saint-Étienne,7,84,42,282930.840461731,52.6875,1975,satellite,248.1875,71.8424825476016,30.064001083374,54.3495998382568,74.2032012939453,92.0760002136231,100,71.6337814331055,204.419067382813,322.498565673828,484.662521362305,549.693420410156
