year,theta_rural,theta_urban,Employment_rural,SpendingShare_Rural,SpendingShare_Urban,SpendingShare_Housing,P_rural,stheta_rural,stheta_urban
1840,1.0,1.0,0.601862192153931,,,,0.8761689639588908,1.0,1.0
1841,0.9997877397065312,1.0030305253321619,0.598958313465118,,,,0.8762073490192658,1.0011419121250822,0.9980911467309699
1842,0.9571318549035936,0.9770868598023912,0.594856441020966,,,,0.8762926918354608,1.006334779213971,0.9944044088713749
1843,1.0170137333319444,0.9897277731344521,0.590815782546997,,,,0.8764392793612629,1.0162219621278699,0.988807926667059
1844,1.0737083171471384,0.9824717201477733,0.586835145950317,,,,0.8766573820716205,1.0299102123602266,0.9815564045569938
1845,0.9752719652194105,0.9647748455529317,0.582913100719452,,,,0.8769563082994535,1.0463447439037634,0.9731475949468419
1846,0.943599206922118,0.9501974613672463,0.579048454761505,,,,0.8773423148302811,1.0642590432881482,0.9643404739135732
1847,1.1967176637112267,0.9794716394034348,0.574829816818237,,,,0.8778175493754572,1.0808206235358921,0.9559664899223337
1848,1.1647124993446984,0.9008597426199204,0.570664942264557,,,,0.8783973769139276,1.0929151977971452,0.9487792048223347
1849,1.1202649292909463,0.9255353945503617,0.566552817821503,,,,0.8791037957289689,1.098613750517352,0.9433328482451641
1850,1.1207940502951859,0.9269787606154568,0.562492430210114,,,,0.8799603245959827,1.0974386271129584,0.940004491952632
1851,1.0871565406020747,0.9082689938871883,0.558482885360718,,,,0.8809951736471039,1.0918169657846082,0.9389134905830987
1852,1.1504612919747415,0.9447686409877336,0.554325580596924,,,,0.8822290249109175,1.0861321983017396,0.9396934882671388
1853,0.9503472155038172,0.9302825905655067,0.550201833248138,,,,0.8836665671796232,1.0843915668656365,0.941279744437323
1854,1.0730760841109732,0.942845824914915,0.546111047267914,,,,0.8853022828401654,1.090222131086641,0.9425471198600545
1855,0.9925565846913625,0.9383187077394085,0.542052984237671,,,,0.8871169716633073,1.1039449034601747,0.9427747578749183
1856,1.0562583215213444,0.9434362548503171,0.538027167320252,,,,0.8890833870051638,1.1234271603588637,0.9422128998810674
1857,1.2276420949123508,0.9476950834498661,0.534615993499756,,,,0.8911762606158143,1.1479106282834282,0.9423220230610495
1858,1.3246639845962027,0.9428529309743179,0.531268417835236,,,,0.8933723148278,1.1762107848040166,0.9448184959586338
1859,1.1310343071177391,0.8767867820607075,0.527982711791992,,,,0.8956571729383547,1.2061580340483733,0.9511548143819764
1860,1.251158832054065,0.924498049212526,0.524757206439972,,,,0.8980209653219356,1.23432806651474,0.9622030102256516
1861,1.097482462272326,0.9393053353199629,0.521590232849121,,,,0.9004477809421919,1.2573438401433534,0.9781919862190948
1862,1.3465583816686448,0.9824276207791501,0.518169045448303,,,,0.9029025998398694,1.2738031321794545,0.9992065507269108
1863,1.3760678544974294,1.03310887242373,0.514786064624786,,,,0.9053359251278098,1.2852692596724498,1.025431577792171
1864,1.382295010882578,1.0630500447019906,0.511440694332123,,,,0.9077076403317453,1.2944565291852734,1.0556262003152732
1865,1.3106161072074078,1.045138107309435,0.50813227891922,,,,0.9099878217794068,1.3019728867736715,1.086672348205346
1866,1.2808991699936203,1.1060825290771918,0.50486022233963,,,,0.9121430547438129,1.307156117951095,1.1159019988142551
1867,1.1307916176119652,1.1078227472903432,0.504126787185669,,,,0.9141259973737913,1.309940305191553,1.1419752913657062
1868,1.3381720742188363,1.2211452362196948,0.503380417823792,,,,0.9158797301739047,1.3121261496377525,1.164266310603193
1869,1.4083029744058928,1.2694275658116863,0.502620875835419,,,,0.9173549722489174,1.3182391479742992,1.183095246188923
1870,1.3442264952112826,1.1665370507498742,0.501847743988037,,,,0.9184976975223191,1.3296906559188277,1.1989433367508264
1871,1.28234778241327,1.1258618970795948,0.501060605049133,,,,0.9192444745155339,1.3437838686857417,1.2120317152154907
1872,1.386623649021525,1.2526886158908077,0.500259160995483,,,,0.9195498961821511,1.357536979140561,1.2225687483179584
1873,1.2046828407852646,1.1907094264734266,0.496820211410523,,,,0.9193850290088896,1.3668075436089269,1.23073823633152
1874,1.509532860324454,1.246781251177812,0.493432074785233,,,,0.9187216926318538,1.3685819052505808,1.2371300448433664
1875,1.5390281934920866,1.280842126559334,0.490093648433685,,,,0.9175387772163828,1.3637662509940365,1.2430402611258178
1876,1.2751433356469446,1.2311596245966359,0.486803859472275,,,,0.9158294376648989,1.3550015124824237,1.2496042169746888
1877,1.3869696159353788,1.2554158100207538,0.481928527355194,,,,0.9135924822215368,1.3443874125519586,1.2569138688081907
